"","Assemblage","t","Method","Order.q","qD","qD.LCL","qD.UCL","SC","SC.LCL","SC.UCL"
"217","Seine",17,"Observed",0,24,18.7766136193861,29.2233863806139,0.851806491120637,0.784076609283696,0.919536372957577
"218","Seine",18,"Extrapolation",0,24.618925831202,19.2245809140165,30.0132707483876,0.85824968715887,0.788909645303257,0.927589729014484
"219","Seine",19,"Extrapolation",0,25.2109418436562,19.6413997017567,30.7804839855557,0.864412744238919,0.793746570089297,0.935078918388542
"220","Seine",20,"Extrapolation",0,25.7772180294819,20.027318475286,31.5271175836778,0.870307842315488,0.798601846307247,0.942013838323729
"221","Seine",21,"Extrapolation",0,26.318873511576,20.3829726787697,32.2547743443823,0.875946631780032,0.803472570050718,0.948420693509346
"222","Seine",22,"Extrapolation",0,26.8369787553182,20.7092998506971,32.9646576599393,0.881340256485248,0.808347943491034,0.954332569479462
"223","Seine",23,"Extrapolation",0,27.3325576841151,21.0074600218491,33.6576553463811,0.886499375768498,0.813214212137263,0.959784539399733
"224","Seine",24,"Extrapolation",0,27.8065897029644,21.2787657865336,34.3344136193951,0.891434185517694,0.818057177379379,0.964811193656009
"225","Seine",25,"Extrapolation",0,28.2600116340375,21.5246236584445,34.9953996096305,0.896154438321272,0.822863418327548,0.969445458314997
"226","Seine",26,"Extrapolation",0,28.6937195681075,21.7464867071837,35.6409524290313,0.900669462742086,0.827620831247863,0.97371809423631
"227","Seine",27,"Extrapolation",0,29.1085706354788,21.9458175839237,36.2713236870339,0.9049881817533,0.83231881324384,0.97765755026276
"228","Seine",28,"Extrapolation",0,29.5053846999209,22.1240606168824,36.8867087829593,0.909119130372722,0.836948265574833,0.98128999517061
"229","Seine",29,"Extrapolation",0,29.8849459789525,22.2826215189151,37.4872704389898,0.91307047253043,0.841501510432933,0.984639434627926
"230","Seine",30,"Extrapolation",0,30.2480045936783,22.4228532856838,38.0731559016728,0.91685001720302,0.84597217087149,0.987727863534549
"231","Seine",31,"Extrapolation",0,30.5952780512422,22.5460469949051,38.6445091075792,0.920465233846367,0.850355039691018,0.990575428001715
"232","Seine",32,"Extrapolation",0,30.927452662825,22.6534263925291,39.2014789331208,0.923923267157394,0.854645950199555,0.993200584115233
"233","Seine",33,"Extrapolation",0,31.2451848999912,22.7461453370229,39.7442244629595,0.927230951194029,0.858841654870149,0.995620247517909
"234","Seine",34,"Extrapolation",0,31.5491026920632,22.8252873487057,40.2729180354207,0.930394822881245,0.862939714290279,0.997849931472212
