New_name	Location	Site	Bio_rep	Tech_rep	Sample_date	eDNA_label	Extraction_date	Volume	Sample_Control	Technical_rep	Control_Type	K
SPA_2	Santa_Rosa_Island	Sandy_Point	A	2	9/10/18	SPA	9/27/18	1250	Sample	SPA_2	NA	3
SPA_3	Santa_Rosa_Island	Sandy_Point	A	3	9/10/18	SPA	9/27/18	1250	Sample	SPA_3	NA	3
SPB_1	Santa_Rosa_Island	Sandy_Point	B	1	9/10/18	SPB	9/27/18	1250	Sample	SPB_1	NA	3
SPB_2	Santa_Rosa_Island	Sandy_Point	B	2	9/10/18	SPB	9/27/18	1250	Sample	SPB_2	NA	3
SPB_3	Santa_Rosa_Island	Sandy_Point	B	3	9/10/18	SPB	9/27/18	1250	Sample	SPB_3	NA	3
SPC_1	Santa_Rosa_Island	Sandy_Point	C	1	9/10/18	SPC	9/27/18	1000	Sample	SPC_1	NA	3
SPC_2	Santa_Rosa_Island	Sandy_Point	C	2	9/10/18	SPC	9/27/18	1000	Sample	SPC_2	NA	3
SPC_3	Santa_Rosa_Island	Sandy_Point	C	3	9/10/18	SPC	9/27/18	1000	Sample	SPC_3	NA	3
WCA_1	Santa_Rosa_Island	Water_Canyon	A	1	9/8/18	WCA	9/27/18	1250	Sample	WCA_1	NA	3
WCA_2	Santa_Rosa_Island	Water_Canyon	A	2	9/8/18	WCA	9/27/18	1250	Sample	WCA_2	NA	3
WCA_3	Santa_Rosa_Island	Water_Canyon	A	3	9/8/18	WCA	9/27/18	1250	Sample	WCA_3	NA	3
WCB_1	Santa_Rosa_Island	Water_Canyon	B	1	9/8/18	WCB	9/27/18	1000	Sample	WCB_1	NA	3
WCB_2	Santa_Rosa_Island	Water_Canyon	B	2	9/8/18	WCB	9/27/18	1000	Sample	WCB_2	NA	3
WCB_3	Santa_Rosa_Island	Water_Canyon	B	3	9/8/18	WCB	9/27/18	1000	Sample	WCB_3	NA	3
WCC_1	Santa_Rosa_Island	Water_Canyon	C	1	9/8/18	WCC	9/27/18	1200	Sample	WCC_1	NA	3
WCC_2	Santa_Rosa_Island	Water_Canyon	C	2	9/8/18	WCC	9/27/18	1200	Sample	WCC_2	NA	3
